#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654 -177.320991488  -51.865703925
   -2.951193099 -185.389430680  -32.766033474
   -2.760793544 -189.773444776  -13.936131623
   -2.570393989 -190.960916950    0.252213531
   -2.379994435 -190.125783889    7.051968007
   -2.189594880 -188.761421341    6.013566049
   -1.999195325 -188.172149497   -0.365566721
   -1.808795770 -188.914218587   -7.007821609
   -1.618396215 -190.489831081   -8.355492710
   -1.427996661 -191.537798960   -1.363920488
   -1.237597106 -190.536220198   12.573011507
   -1.047197551 -186.610114583   28.329477705
   -0.856797996 -179.990985574   39.937462539
   -0.666398442 -171.895951124   43.386437546
   -0.475998887 -164.014183616   37.801108462
   -0.285599332 -157.948868373   24.665531980
   -0.095199777 -154.898550906    6.597977080
    0.095199777 -155.521908653  -13.338171490
    0.285599332 -159.838988450  -31.478867554
    0.475998887 -167.077873599  -43.178111136
    0.666398442 -175.530426723  -43.516560210
    0.856797996 -182.683717019  -29.352058879
    1.047197551 -185.813417611   -1.889377191
    1.237597106 -182.950929997   32.055221288
    1.427996661 -173.856919033   61.680505947
    1.618396215 -160.407601526   76.291822904
    1.808795770 -146.129024380   69.984466418
    1.999195325 -134.988783736   44.222070222
    2.189594880 -129.997444888    7.140487499
    2.379994435 -132.245391750  -29.932216977
    2.570393989 -140.731661345  -57.034941339
    2.760793544 -152.970335390  -68.944694772
    2.951193099 -166.005725536  -65.822264033
