#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
   -3.141592654  159.520065086   46.629460425
   -3.078760801  162.281898612   41.258457464
   -3.015928947  164.692689517   35.553095457
   -2.953097094  166.738293779   29.663397357
   -2.890265241  168.411408998   23.807239052
   -2.827433388  169.728022002   18.142275094
   -2.764601535  170.700899985   12.823186140
   -2.701769682  171.348122210    7.945151227
   -2.638937829  171.708255923    3.642882688
   -2.576105976  171.820884115    0.004913830
   -2.513274123  171.729807248   -2.889434208
   -2.450442270  171.479456266   -5.024485242
   -2.387610417  171.123725031   -6.346801963
   -2.324778564  170.711930036   -6.845561572
   -2.261946711  170.291259167   -6.616665913
   -2.199114858  169.908985287   -5.708906066
   -2.136283004  169.602371037   -4.228185802
   -2.073451151  169.401820629   -2.336385725
   -2.010619298  169.324703402   -0.191744250
   -1.947787445  169.385278549    2.023910448
   -1.884955592  169.582657060    4.128654273
   -1.822123739  169.902423980    5.907192058
   -1.759291886  170.320869734    7.190341154
   -1.696460033  170.794912160    7.801595541
   -1.633628180  171.282740592    7.644323396
   -1.570796327  171.732560431    6.637336969
   -1.507964474  172.094392310    4.767225962
   -1.445132621  172.309670521    2.069155692
   -1.382300768  172.330533464   -1.382019691
   -1.319468915  172.120225685   -5.432920525
   -1.256637061  171.635789920   -9.944009689
   -1.193805208  170.858013189  -14.692986772
   -1.130973355  169.776102813  -19.470000009
   -1.068141502  168.403042022  -24.139028073
   -1.005309649  166.753083151  -28.409723183
   -0.942477796  164.849390967  -32.149058197
   -0.879645943  162.738922879  -35.201309464
   -0.816814090  160.456114516  -37.369327774
   -0.753982237  158.060205088  -38.779171692
   -0.691150384  155.613669678  -39.229698302
   -0.628318531  153.164307999  -38.744445985
   -0.565486678  150.768548381  -37.408563013
   -0.502654825  148.482559545  -35.215111115
   -0.439822972  146.357476992  -32.255010462
   -0.376991118  144.440468277  -28.600107116
   -0.314159265  142.772469864  -24.316308325
   -0.251327412  141.391729763  -19.509902493
   -0.188495559  140.324419479  -14.261278283
   -0.125663706  139.597141257   -8.687656998
   -0.062831853  139.229758560   -2.882010804
    0.000000000  139.229609010    3.053297248
    0.062831853  139.602848068    9.034826236
    0.125663706  140.349938940   14.885863133
    0.188495559  141.454955306   20.505155218
    0.251327412  142.905188580   25.720150440
    0.314159265  144.659145662   30.425484996
    0.376991118  146.691569861   34.403034479
    0.439822972  148.950337421   37.509747966
    0.502654825  151.370157912   39.616213396
    0.565486678  153.882079516   40.538365732
    0.628318531  156.411908079   40.123458215
    0.691150384  158.874718301   38.278777532
    0.753982237  161.175748276   34.973651321
    0.816814090  163.222833585   30.211716601
    0.879645943  164.929388756   23.991545858
    0.942477796  166.207377903   16.469477847
    1.005309649  166.978092439    7.838862468
    1.068141502  167.177444348   -1.616552185
    1.130973355  166.759647705  -11.656785763
    1.193805208  165.711035968  -21.909685382
    1.256637061  164.028151637  -31.966020744
    1.319468915  161.716433241  -41.494537280
    1.382300768  158.833138404  -50.119031645
    1.445132621  155.450070693  -57.466835239
    1.507964474  151.648724193  -63.250700364
    1.570796327  147.549997319  -67.121680261
    1.633628180  143.265367381  -69.037863542
    1.696460033  138.926457637  -68.813518373
    1.759291886  134.670793785  -66.439473792
    1.822123739  130.633289961  -61.998957778
    1.884955592  126.936123146  -55.641538372
    1.947787445  123.691697807  -47.570902757
    2.010619298  120.997316274  -38.097695486
    2.073451151  118.932026290  -27.548633014
    2.136283004  117.554100116  -16.295260513
    2.199114858  116.898710070   -4.734985778
    2.261946711  116.966171499    6.742953163
    2.324778564  117.742056748   17.792238092
    2.387610417  119.188060316   28.073085160
    2.450442270  121.249053840   37.320735948
    2.513274123  123.851540066   45.280273898
    2.576105976  126.907367190   51.818068211
    2.638937829  130.323018440   56.772083965
    2.701769682  134.008911203   60.176959560
    2.764601535  137.855575022   61.975853375
    2.827433388  141.767636358   62.312793634
    2.890265241  145.655259790   61.270520318
    2.953097094  149.448744728   59.041056236
    3.015928947  153.057044323   55.745870195
    3.078760801  156.427662752   51.556815427
