#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  100
#! SET periodic_psi true
   -3.141592654   -3.141592654  148.718461972   45.716210934  -15.583807871
   -3.078760801   -3.141592654  151.448868306   40.698636281  -16.054501725
   -3.015928947   -3.141592654  153.852823905   35.275030388  -16.436846261
   -2.953097094   -3.141592654  155.899929621   29.552930583  -16.686407285
   -2.890265241   -3.141592654  157.589513033   23.767323693  -16.880862855
   -2.827433388   -3.141592654  158.916300168   18.059270023  -16.994312552
   -2.764601535   -3.141592654  159.899666381   12.600939534  -17.027172768
   -2.701769682   -3.141592654  160.548638416    7.549004044  -17.007079367
   -2.638937829   -3.141592654  160.889006477    2.955179366  -16.945417632
   -2.576105976   -3.141592654  160.964236448   -1.052999692  -16.878188482
   -2.513274123   -3.141592654  160.798742035   -4.450142967  -16.798671925
   -2.450442270   -3.141592654  160.443930406   -7.183772288  -16.722296915
   -2.387610417   -3.141592654  159.954726195   -9.183040867  -16.667477301
   -2.324778564   -3.141592654  159.348233777  -10.519644088  -16.665348033
   -2.261946711   -3.141592654  158.687581978  -11.210705930  -16.701073302
   -2.199114858   -3.141592654  157.994681189  -11.408061587  -16.815223849
   -2.136283004   -3.141592654  157.303220274  -11.180105924  -17.045536132
   -2.073451151   -3.141592654  156.624580055  -10.633902176  -17.368869687
   -2.010619298   -3.141592654  155.994043955   -9.857195041  -17.803986399
   -1.947787445   -3.141592654  155.403002252   -9.045288818  -18.371656204
   -1.884955592   -3.141592654  154.865286992   -8.319895338  -19.037638296
   -1.822123739   -3.141592654  154.360374667   -7.801165559  -19.846837835
   -1.759291886   -3.141592654  153.882876428   -7.637074170  -20.771506164
   -1.696460033   -3.141592654  153.398530959   -7.900447457  -21.801309547
   -1.633628180   -3.141592654  152.870545594   -8.625938683  -22.913349415
   -1.570796327   -3.141592654  152.276244150   -9.960156232  -24.137188640
   -1.507964474   -3.141592654  151.579154988  -11.930104664  -25.438391738
   -1.445132621   -3.141592654  150.742554816  -14.506615766  -26.770939038
   -1.382300768   -3.141592654  149.721802879  -17.681080720  -28.113786268
   -1.319468915   -3.141592654  148.482543613  -21.300887557  -29.440610488
   -1.256637061   -3.141592654  147.003563551  -25.329719169  -30.722806543
   -1.193805208   -3.141592654  145.260504406  -29.606635353  -31.896971007
   -1.130973355   -3.141592654  143.250881636  -33.984276223  -32.951609852
   -1.068141502   -3.141592654  140.967993608  -38.387371727  -33.819716138
   -1.005309649   -3.141592654  138.416636992  -42.591966615  -34.499293831
   -0.942477796   -3.141592654  135.608105431  -46.377549749  -34.967619682
   -0.879645943   -3.141592654  132.587883239  -49.665811971  -35.167381639
   -0.816814090   -3.141592654  129.372281104  -52.323067056  -35.112785823
   -0.753982237   -3.141592654  126.025448955  -54.139722877  -34.741540811
   -0.691150384   -3.141592654  122.579144986  -55.090095038  -34.090582708
   -0.628318531   -3.141592654  119.107245234  -55.012778725  -33.090554615
   -0.565486678   -3.141592654  115.687230785  -53.960709246  -31.795761617
   -0.502654825   -3.141592654  112.370530939  -51.743264010  -30.178881097
   -0.439822972   -3.141592654  109.221158394  -48.449678230  -28.264713831
   -0.376991118   -3.141592654  106.314942802  -44.153471546  -26.075723824
   -0.314159265   -3.141592654  103.716001206  -38.824181190  -23.618955100
   -0.251327412   -3.141592654  101.471964242  -32.514982966  -20.958331650
   -0.188495559   -3.141592654   99.650854913  -25.432412419  -18.056574660
   -0.125663706   -3.141592654   98.299043237  -17.710871181  -14.980757303
   -0.062831853   -3.141592654   97.434698499   -9.515467778  -11.784455391
    0.000000000   -3.141592654   97.082851437   -1.045120968   -8.534961853
    0.062831853   -3.141592654   97.273378818    7.508949244   -5.309512521
    0.125663706   -3.141592654   97.999566109   15.874681994   -2.108670019
    0.188495559   -3.141592654   99.229674281   23.903935058    0.959036839
    0.251327412   -3.141592654  100.954028173   31.281389273    3.910077851
    0.314159265   -3.141592654  103.110134059   37.789935456    6.648296174
    0.376991118   -3.141592654  105.644678093   43.158653105    9.179924386
    0.439822972   -3.141592654  108.473858913   47.302193277   11.400183713
    0.502654825   -3.141592654  111.518174106   49.955866099   13.349672477
    0.565486678   -3.141592654  114.683164814   51.108688411   14.974332375
    0.628318531   -3.141592654  117.876644544   50.660358176   16.262675365
    0.691150384   -3.141592654  120.994187177   48.557579400   17.205816399
    0.753982237   -3.141592654  123.927212315   44.994181151   17.805790522
    0.816814090   -3.141592654  126.591856890   39.962755085   18.089708643
    0.879645943   -3.141592654  128.906576015   33.668586637   18.068291647
    0.942477796   -3.141592654  130.788639072   26.350486992   17.780279069
    1.005309649   -3.141592654  132.192107459   18.233234706   17.246050735
    1.068141502   -3.141592654  133.068561935    9.660767107   16.501377302
    1.130973355   -3.141592654  133.399315129    0.902410675   15.598446455
    1.193805208   -3.141592654  133.186455237   -7.692806558   14.558971464
    1.256637061   -3.141592654  132.446358456  -15.869420170   13.436949318
    1.319468915   -3.141592654  131.215619939  -23.269680537   12.245234734
    1.382300768   -3.141592654  129.546188419  -29.715855694   11.036963708
    1.445132621   -3.141592654  127.523838080  -34.927710582    9.839267324
    1.507964474   -3.141592654  125.209727534  -38.772988925    8.658626572
    1.570796327   -3.141592654  122.699189975  -41.134458094    7.518010343
    1.633628180   -3.141592654  120.079749222  -42.028614076    6.419999548
    1.696460033   -3.141592654  117.457237809  -41.259485954    5.402484891
