#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  18
#! SET periodic_psi true
   -3.141592654   -3.141592654 -169.122913149  -52.381576220   21.573632323
   -2.951193099   -3.141592654 -177.348519820  -33.625584584   23.548862311
   -2.760793544   -3.141592654 -181.849811037  -14.129317032   24.422787563
   -2.570393989   -3.141592654 -182.962784768    1.338168343   24.542463278
   -2.379994435   -3.141592654 -181.749929991   10.093762930   24.451164043
   -2.189594880   -3.141592654 -179.530367202   12.167870518   24.739730364
   -1.999195325   -3.141592654 -177.367492298   10.109041357   25.906065349
   -1.808795770   -3.141592654 -175.672047761    7.995549201   28.224340241
   -1.618396215   -3.141592654 -174.057621002    9.807243650   31.607604969
   -1.427996661   -3.141592654 -171.529314687   17.722339392   35.551760875
   -1.237597106   -3.141592654 -166.943436795   31.013891676   39.211820187
   -1.047197551   -3.141592654 -159.568490603   46.235607823   41.614671007
   -0.856797996   -3.141592654 -149.497015509   58.468788377   41.902776744
   -0.666398442   -3.141592654 -137.758284869   63.089052495   39.522753122
   -0.475998887   -3.141592654 -126.114403159   57.154584085   34.326194466
   -0.285599332   -3.141592654 -116.659141134   40.283363687   26.622763645
   -0.095199777   -3.141592654 -111.294209459   14.815493185   17.188302682
    0.095199777   -3.141592654 -111.219465450  -14.248728001    7.177232849
    0.285599332   -3.141592654 -116.485796465  -40.041133894   -2.076545492
    0.475998887   -3.141592654 -125.778521053  -55.474498630   -9.350212731
    0.666398442   -3.141592654 -136.603438003  -55.615243805  -13.831278837
    0.856797996   -3.141592654 -145.915210202  -39.957589904  -15.323697123
    1.047197551   -3.141592654 -151.076038213  -13.189810341  -14.262648179
    1.237597106   -3.141592654 -150.746820579   16.151555593  -11.546152052
    1.427996661   -3.141592654 -145.338284795   38.763664434   -8.181902947
    1.618396215   -3.141592654 -136.835446420   47.871620359   -4.933165654
    1.808795770   -3.141592654 -128.103534571   41.230877950   -2.090565621
    1.999195325   -3.141592654 -121.980309067   21.217974157    0.511812617
    2.189594880   -3.141592654 -120.503633129   -6.423103256    3.279558919
    2.379994435   -3.141592654 -124.444651687  -34.474406516    6.562280569
    2.570393989   -3.141592654 -133.214658868  -56.158245582   10.423387817
    2.760793544   -3.141592654 -145.111403164  -66.801364670   14.571732306
    2.951193099   -3.141592654 -157.833754666  -64.918859836   18.471355606

   -3.141592654   -2.792526803 -160.375930130  -49.181987599   30.731326021
   -2.951193099   -2.792526803 -168.225065933  -32.823290704   32.305949459
   -2.760793544   -2.792526803 -172.756089004  -15.097251812   32.605381665
   -2.570393989   -2.792526803 -174.140529426   -0.353767832   32.125186356
   -2.379994435   -2.792526803 -173.224819245    8.857639134   31.506055334
   -2.189594880   -2.792526803 -171.109285198   12.471723657   31.366167031
   -1.999195325   -2.792526803 -168.675941961   12.743801157   32.158197472
   -1.808795770   -2.792526803 -166.233455849   13.187118319   34.043416366
   -1.618396215   -2.792526803 -163.428424360   16.948512810   36.766593891
   -1.427996661   -2.792526803 -159.471190726   25.273647418   39.627093977
   -1.237597106   -2.792526803 -153.582231527   36.764096256   41.606088809
   -1.047197551   -2.792526803 -145.471239603   47.875105239   41.652924926
   -0.856797996   -2.792526803 -135.626094473   54.258429468   39.013042117
   -0.666398442   -2.792526803 -125.307334173   52.401125297   33.456431354
   -0.475998887   -2.792526803 -116.267394937   40.737551305   25.350204910
   -0.285599332   -2.792526803 -110.330274905   20.187968279   15.589762031
   -0.095199777   -2.792526803 -108.913209237   -6.014511544    5.421066282
